file_name,cmp_ratio,abs_mean_uncmp,std_dev,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
mbari2019_UTC_20190622_002934/mbari2019_UTC_20190622_002934.694.tdms.h5,4.55037,583.129,762.666,-12014,12128,-2.26933,1221,5930,185,14365,
mbari2019_UTC_20190622_003004/mbari2019_UTC_20190622_003004.694.tdms.h5,4.55032,584.698,764.704,-12346,14048,-2.04889,1157,5916,1079,14889,
mbari2019_UTC_20190622_003034/mbari2019_UTC_20190622_003034.694.tdms.h5,4.49879,585.714,765.505,-15083,13589,-1.33757,1306,5800,181,14391,
mbari2019_UTC_20190622_003104/mbari2019_UTC_20190622_003104.694.tdms.h5,4.55052,568.014,749.168,-10709,10824,-1.39621,1160,6122,177,14255,
mbari2019_UTC_20190622_003134/mbari2019_UTC_20190622_003134.694.tdms.h5,4.55027,560.69,749.432,-12388,11155,-1.2781,1163,6001,217,14471,
mbari2019_UTC_20190622_003234/mbari2019_UTC_20190622_003234.694.tdms.h5,4.55098,556.893,739.519,-10334,10519,-1.24521,1164,5973,183,14389,
mbari2019_UTC_20190622_003304/mbari2019_UTC_20190622_003304.694.tdms.h5,4.5616,560.136,745.323,-9048,13502,-0.938855,1187,6099,188,14275,
mbari2019_UTC_20190622_003334/mbari2019_UTC_20190622_003334.694.tdms.h5,4.55084,548.695,727.853,-10410,10021,-1.08901,1180,6033,177,14208,
mbari2019_UTC_20190622_003404/mbari2019_UTC_20190622_003404.694.tdms.h5,4.55826,545.588,720.082,-9159,9368,-0.988781,1174,5791,242,14237,
mbari2019_UTC_20190622_003204/mbari2019_UTC_20190622_003204.694.tdms.h5,4.55328,549.09,730.535,-9588,9760,-1.11956,1162,5988,951,15147,
mbari2019_UTC_20190622_003434/mbari2019_UTC_20190622_003434.694.tdms.h5,4.55078,549.681,725.521,-10318,9620,-0.980574,1179,5932,229,14336,
mbari2019_UTC_20190622_003504/mbari2019_UTC_20190622_003504.694.tdms.h5,4.55042,556.55,732.524,-11718,13765,-0.873376,1133,5899,190,14008,
mbari2019_UTC_20190622_003534/mbari2019_UTC_20190622_003534.694.tdms.h5,4.55048,556.634,735.497,-10851,9968,-0.847282,1140,5772,194,13994,
mbari2019_UTC_20190622_003634/mbari2019_UTC_20190622_003634.694.tdms.h5,4.55132,569.089,753.251,-10065,11128,-0.762706,1151,6013,182,14216,
mbari2019_UTC_20190622_003604/mbari2019_UTC_20190622_003604.694.tdms.h5,4.5506,560.406,734.524,-10393,11257,-0.812313,1179,6127,228,14602,
mbari2019_UTC_20190622_003734/mbari2019_UTC_20190622_003734.694.tdms.h5,4.55036,563.93,747.716,-11899,12298,-1.30274,1151,5908,305,14233,
mbari2019_UTC_20190622_003834/mbari2019_UTC_20190622_003834.694.tdms.h5,4.55104,571.041,756.616,-10384,10326,-0.586069,1154,5912,231,14150,
mbari2019_UTC_20190622_003904/mbari2019_UTC_20190622_003904.694.tdms.h5,4.55076,561.567,747.19,-10620,12304,-0.464648,1140,5807,200,13945,
mbari2019_UTC_20190622_003804/mbari2019_UTC_20190622_003804.694.tdms.h5,4.5506,573.087,757.563,-11065,10609,-1.00966,1179,6108,178,14540,
mbari2019_UTC_20190622_003704/mbari2019_UTC_20190622_003704.694.tdms.h5,4.55044,573.604,760.948,-11580,9403,-1.66011,1185,6515,426,15107,
mbari2019_UTC_20190622_003934/mbari2019_UTC_20190622_003934.694.tdms.h5,4.55044,560.902,751.846,-11730,10981,-0.390837,1186,6094,253,14530,
mbari2019_UTC_20190622_004004/mbari2019_UTC_20190622_004004.694.tdms.h5,4.55102,565.404,758.764,-10594,11088,-0.217437,1187,6034,178,14342,
mbari2019_UTC_20190622_004104/mbari2019_UTC_20190622_004104.694.tdms.h5,4.55029,569.337,757.509,-12322,10495,-0.458166,1145,5936,186,14337,
mbari2019_UTC_20190622_004134/mbari2019_UTC_20190622_004134.694.tdms.h5,4.55037,571.857,764.08,-12075,12089,-0.1128,1145,5958,185,14348,
mbari2019_UTC_20190622_004204/mbari2019_UTC_20190622_004204.694.tdms.h5,4.55043,568.186,760.809,-11784,7988,-0.293239,1147,5945,184,14316,
mbari2019_UTC_20190622_004034/mbari2019_UTC_20190622_004034.694.tdms.h5,4.55119,563.958,752.963,-10385,10413,-0.333121,1148,5808,1380,15347,
mbari2019_UTC_20190622_004234/mbari2019_UTC_20190622_004234.694.tdms.h5,4.56732,560.693,744.515,-8857,8550,-0.200989,1157,6190,173,14376,
mbari2019_UTC_20190622_004304/mbari2019_UTC_20190622_004304.694.tdms.h5,4.55063,559.252,739.022,-10585,10105,-0.143033,1141,6124,367,14488,
mbari2019_UTC_20190622_004404/mbari2019_UTC_20190622_004404.694.tdms.h5,4.55058,555.933,727.872,-10733,11188,-0.158838,1177,6030,187,14369,
mbari2019_UTC_20190622_004434/mbari2019_UTC_20190622_004434.694.tdms.h5,4.55107,552.247,721.409,-9891,10763,-0.0639956,1144,5911,178,14199,
mbari2019_UTC_20190622_004504/mbari2019_UTC_20190622_004504.694.tdms.h5,4.55043,547.961,717.477,-11693,9505,-0.452812,1144,5916,177,14204,
mbari2019_UTC_20190622_004334/mbari2019_UTC_20190622_004334.694.tdms.h5,4.54767,556.701,731.316,-13771,11932,-0.223247,1179,5991,1455,15487,
