file_name,cmp_ratio,abs_mean_uncmp,std_dev,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
Dsi_30min_170803163007_170803170007_ch5500_6000/Dsi_30min_170803163007_170803170007_ch5500_6000.h5,4.89849,101.67,142.389,-6152,6154,-0.0378786,4225,44696,531,74301,
Dsi_30min_170803170007_170803173007_ch5500_6000/Dsi_30min_170803170007_170803173007_ch5500_6000.h5,4.89853,103.772,145.513,-6117,6100,-0.477648,4246,45019,548,74789,
Dsi_30min_170803190007_170803193007_ch5500_6000/Dsi_30min_170803190007_170803193007_ch5500_6000.h5,4.89509,125.153,249.857,-6227,6358,-0.782576,4299,44777,570,74910,
Dsi_30min_170803183007_170803190007_ch5500_6000/Dsi_30min_170803183007_170803190007_ch5500_6000.h5,4.89851,103.301,144.069,-6112,6004,-0.726595,4274,44810,615,74947,
Dsi_30min_170803180007_170803183007_ch5500_6000/Dsi_30min_170803180007_170803183007_ch5500_6000.h5,4.89867,100.57,136.095,-5932,5980,-0.598337,4269,45005,657,75060,
Dsi_30min_170803193007_170803200007_ch5500_6000/Dsi_30min_170803193007_170803200007_ch5500_6000.h5,4.89858,100.462,139.921,-5987,6050,-0.72658,4283,44999,562,75006,
Dsi_30min_170803173007_170803180007_ch5500_6000/Dsi_30min_170803173007_170803180007_ch5500_6000.h5,4.89852,103.099,143.55,-6096,6091,-0.583754,4282,45175,1560,75895,
Dsi_30min_170803200007_170803203007_ch5500_6000/Dsi_30min_170803200007_170803203007_ch5500_6000.h5,4.89863,99.656,136.022,-6063,6258,-0.743084,3403,37334,483,61264,
Dsi_30min_170803210007_170803213007_ch5500_6000/Dsi_30min_170803210007_170803213007_ch5500_6000.h5,4.89838,103.313,151.054,-6182,6150,-0.359821,4233,45376,535,74936,
Dsi_30min_170803203007_170803210007_ch5500_6000/Dsi_30min_170803203007_170803210007_ch5500_6000.h5,4.89861,101.607,139.714,-6181,5838,-0.800004,4285,45930,558,75972,
Dsi_30min_170803213007_170803220007_ch5500_6000/Dsi_30min_170803213007_170803220007_ch5500_6000.h5,4.89847,105.459,148.075,-6182,6213,-0.388384,4229,45332,801,75056,
Dsi_30min_170803220007_170803223007_ch5500_6000/Dsi_30min_170803220007_170803223007_ch5500_6000.h5,4.89359,136.707,283.198,-6312,6354,-0.230329,4247,45268,1331,75892,
Dsi_30min_170803223007_170803230007_ch5500_6000/Dsi_30min_170803223007_170803230007_ch5500_6000.h5,4.89829,105.073,152.512,-6195,6122,-0.179577,4225,45398,531,75202,
Dsi_30min_170803230007_170803233007_ch5500_6000/Dsi_30min_170803230007_170803233007_ch5500_6000.h5,4.89811,113.099,167.139,-6220,6089,-0.640797,4225,45447,534,75329,
Dsi_30min_170804000007_170804003007_ch5500_6000/Dsi_30min_170804000007_170804003007_ch5500_6000.h5,4.89787,116.302,179.519,-6091,6280,-0.766653,4248,45607,557,75398,
Dsi_30min_170804003007_170804010007_ch5500_6000/Dsi_30min_170804003007_170804010007_ch5500_6000.h5,4.89818,111.309,165.448,-6091,6132,-0.390046,4278,45517,554,75369,
Dsi_30min_170803233007_170804000007_ch5500_6000/Dsi_30min_170803233007_170804000007_ch5500_6000.h5,4.89797,112.264,169.564,-6203,6106,-0.399787,4231,45484,1787,76367,
Dsi_30min_170804010007_170804013007_ch5500_6000/Dsi_30min_170804010007_170804013007_ch5500_6000.h5,4.89838,106.845,152.477,-6250,6016,-0.208522,4223,45644,1346,76026,
Dsi_30min_170804013007_170804020007_ch5500_6000/Dsi_30min_170804013007_170804020007_ch5500_6000.h5,4.89863,98.6607,135.164,-6017,6068,-0.865845,4223,45469,546,75049,
