file_name,cmp_ratio,abs_mean_uncmp,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
DF__UTC_20201111_000458/DF__UTC_20201111_000458.642.h5,4.2473,474.388,-23896,23996,-0.614046,1712,8551,2281,17639,
DF__UTC_20201111_000558/DF__UTC_20201111_000558.642.h5,4.24757,464.448,-23475,23365,-0.706622,1710,8703,2501,18329,
DF__UTC_20201111_000758/DF__UTC_20201111_000758.642.h5,4.24732,471.672,-24119,24507,-0.503475,1651,8226,2027,16958,
DF__UTC_20201111_000658/DF__UTC_20201111_000658.642.h5,4.24721,472.748,-24239,23513,-0.617391,1721,8473,2233,17380,
DF__UTC_20201111_000958/DF__UTC_20201111_000958.642.h5,4.24735,475.967,-24020,23847,-0.555555,1722,8617,257,15807,
DF__UTC_20201111_000858/DF__UTC_20201111_000858.642.h5,4.24704,487.374,-24332,24935,-0.875325,1720,8475,2454,17744,
DF__UTC_20201111_001058/DF__UTC_20201111_001058.642.h5,4.24683,476.123,-24929,24722,-1.13801,1720,8696,2140,17648,
DF__UTC_20201111_001158/DF__UTC_20201111_001158.642.h5,4.24657,468.635,-25058,24298,-1.22253,1737,8880,2103,17806,
DF__UTC_20201111_001358/DF__UTC_20201111_001358.642.h5,4.24742,473.082,-23700,23559,-0.214518,1701,8510,272,15581,
DF__UTC_20201111_001258/DF__UTC_20201111_001258.642.h5,4.24693,481.372,-24109,24096,-0.892501,1746,8287,1959,17140,
DF__UTC_20201111_001458/DF__UTC_20201111_001458.642.h5,4.24718,474.961,-24203,24102,-0.504754,1730,8536,257,15671,
DF__UTC_20201111_001558/DF__UTC_20201111_001558.642.h5,4.2468,469.093,-24419,24614,-0.350256,1751,8426,2191,17497,
DF__UTC_20201111_001658/DF__UTC_20201111_001658.642.h5,4.2469,475.152,-24681,24632,-0.400098,1757,8490,2233,17542,
DF__UTC_20201111_001758/DF__UTC_20201111_001758.642.h5,4.24729,473.324,-24058,24249,-0.51618,1742,8486,2157,17439,
DF__UTC_20201111_001958/DF__UTC_20201111_001958.642.h5,4.24736,469.376,-23560,23798,-0.54848,1731,8306,265,15426,
DF__UTC_20201111_001858/DF__UTC_20201111_001858.642.h5,4.24721,463.956,-23800,24317,-0.476643,1765,8848,266,15989,
DF__UTC_20201111_002058/DF__UTC_20201111_002058.642.h5,4.24739,461.994,-23991,24020,-0.363791,1720,8742,260,15860,
DF__UTC_20201111_002158/DF__UTC_20201111_002158.642.h5,4.2474,447.248,-23676,24720,-0.370891,1729,8909,255,16038,
DF__UTC_20201111_002458/DF__UTC_20201111_002458.642.h5,4.24672,471.465,-24910,25028,-1.28743,1758,8634,261,15700,
DF__UTC_20201111_002258/DF__UTC_20201111_002258.642.h5,4.2475,444.556,-23496,24051,-0.540118,1723,8742,1781,17455,
DF__UTC_20201111_002358/DF__UTC_20201111_002358.642.h5,4.24705,463.477,-24258,23927,-1.09908,1749,8690,1878,17383,
DF__UTC_20201111_002558/DF__UTC_20201111_002558.642.h5,4.24698,479.838,-24083,24203,-0.791179,1761,8420,273,15743,
DF__UTC_20201111_002758/DF__UTC_20201111_002758.642.h5,4.24751,467.438,-24386,22690,-0.432301,1697,8512,254,15452,
DF__UTC_20201111_002658/DF__UTC_20201111_002658.642.h5,4.2471,466.591,-24382,23908,-0.0749423,1707,8435,2315,17458,
DF__UTC_20201111_002958/DF__UTC_20201111_002958.642.h5,4.24775,458.188,-23724,23794,-0.406672,1687,8320,259,15353,
DF__UTC_20201111_002858/DF__UTC_20201111_002858.642.h5,4.2476,463.202,-23956,22450,-0.423235,1737,8870,2013,17685,
DF__UTC_20201111_003158/DF__UTC_20201111_003158.642.h5,4.24758,457.722,-24172,24660,-0.504132,1689,8773,262,15912,
DF__UTC_20201111_003258/DF__UTC_20201111_003258.642.h5,4.24766,461.668,-23673,24019,-0.402887,1678,8742,260,15793,
DF__UTC_20201111_003058/DF__UTC_20201111_003058.642.h5,4.24807,449.973,-22350,23523,-0.322905,1689,8708,2301,17855,
DF__UTC_20201111_003358/DF__UTC_20201111_003358.642.h5,4.24779,466.53,-23118,23499,-0.36033,1730,8285,717,15833,
DF__UTC_20201111_003458/DF__UTC_20201111_003458.642.h5,4.24723,489.675,-23833,24701,-0.402543,1711,8485,276,15526,
DF__UTC_20201111_003558/DF__UTC_20201111_003558.642.h5,4.24768,471.919,-23297,23546,-0.524665,1753,8443,1769,17261,
DF__UTC_20201111_003658/DF__UTC_20201111_003658.642.h5,4.24723,470.895,-24782,23779,-0.635119,1745,8332,2145,17253,
DF__UTC_20201111_003758/DF__UTC_20201111_003758.642.h5,4.24723,463.219,-24667,25190,-1.06513,1688,8478,271,15414,
DF__UTC_20201111_003858/DF__UTC_20201111_003858.642.h5,4.24735,455.862,-24278,24735,-1.11468,1780,8488,1996,17369,
DF__UTC_20201111_003958/DF__UTC_20201111_003958.642.h5,4.24734,450.799,-24625,24645,-0.528743,1695,8390,259,15495,
DF__UTC_20201111_004058/DF__UTC_20201111_004058.642.h5,4.24799,456.502,-22641,23018,-0.213271,1715,8159,265,15227,
DF__UTC_20201111_004158/DF__UTC_20201111_004158.642.h5,4.24796,438.327,-23125,23200,-0.33722,1737,8694,264,15670,
DF__UTC_20201111_004458/DF__UTC_20201111_004458.642.h5,4.24777,450.014,-23518,23223,-0.151662,1739,8538,361,15760,
DF__UTC_20201111_004358/DF__UTC_20201111_004358.642.h5,4.24772,447.545,-23795,23734,-0.223083,1719,8726,4477,20086,
